id,name,slug,aliases,description,sonic_dna
03a2b57e-0faa-4628-b8c9-484cc6889151,Hypertechno,hypertechno,,"Emerged in the 2020s by mixing fast tempos, prominent basslines, and hard-hitting drums derived from popular Techno with simplistic, catchy melodies and vocals, often influenced by 2000s Hard Dance, Eurodance and Electropop.",
03d93180-1cb9-4c34-a0ea-bf0535970a82,Deathstep,deathstep,,"Darker, heavier form of Brostep that uses ""machine gun"" basses, atonal synths, and elements from genres like Death Metal and Metalcore.",
05ec2105-e48d-4964-8cd3-4c41428e9104,Space Ambient,space-ambient,,"Flowing and relaxing synthesizer-based music derived from Progressive Electronic, often oriented around imagery of outer space.",
0685bc59-44eb-484d-abb2-4883f3f34e0b,Broken Beat,broken-beat,,"Choppy, syncopated grooves and loose influence from 1970s Jazz-Funk, with eclectic roots spanning Drum and Bass, Deep House, Acid Jazz, and Afrobeat.",
06de0785-ecf9-4a7e-b31e-fc39930e7cb9,Electro Hop,electro-hop,,Emerged in the mid 2000s featuring upbeat rap verses and catchy hooks over four-on-the-floor Electropop and Electro House-inspired production.,
094f9e2c-36fc-428b-a198-a8235825698c,Bubblegum Bass,bubblegum-bass,,"Originated in the early 2010s, exaggerating the cutest and most feminine parts of 2000s Pop and combining them with bouncy, plastic synths over rhythms and sounds derived from a variety of contemporary club styles.",
09c6cacb-e2ae-480f-b6bf-12da699985f0,Jersey Club,jersey-club,,"Emerged in Newark in the late 2000s; features fast tempos, hard kicks, and less prominent breakbeats.",
0a3fd7ed-0fb5-49c2-9c58-6600dedff133,Digital Cumbia,digital-cumbia,,"Mixes an Electronic sound into traditional Cumbia through influences from House, Dancehall, Hyphy, and Dubstep.",
0ad7f88b-140a-4bfc-9cd3-cbf1a4eb7e91,Acid House,acid-house,,"Emerged in the mid-1980s, characterised by repetitive basslines created with the distinctive modulated ""squelching"" sound of the Roland TB-303 synthesiser.",
0d52be1b-8944-4325-944b-2186fc6d938b,Balearic Beat,balearic-beat,,"Variety of relaxed, laid-back music that originates from the Balearic Islands off the coast of Spain, and particularly the club scene in Ibiza.",
0d5ea531-4fa6-413f-b912-22c90b52d4ff,Comfy Synth,comfy-synth,,"Calm, peaceful and soothing sounds, as well as nostalgic, sentimental, or childish atmospheres and aesthetics; often incorporates wholesome themes while utilizing lo-fi or hazy recordings and influences from New Age.",
1001ee27-f98a-471a-b686-2699fc89cdeb,Glitch Pop,glitch-pop,,Incorporates elements of more experimental Electronic styles like IDM and Glitch.,
149f283a-2678-49a6-b402-0c765244efcc,Post-Dubstep,post-dubstep,,"Minimalistic, atmospheric sound design and eclectic drum patterns, derived from but not fitting Dubstep.",
14e051c1-d915-4959-a8e2-bdf598215379,Big Room House,big-room-house,,"Energetic, festival-oriented style characterized by heavy reverb, intense build-ups, strong kicks, minimalistic drop melodies, and sparse, raw breakdowns.",
1593a819-22e9-4441-9490-607aaaaa89f4,Moombahcore,moombahcore,,"High-pitched synth leads, gritty percussion, a kick-snare pattern, aggressive bass drops, and around 110 BPM while often paralleling Complextro or Brostep.",
164b9dee-b0bf-4e35-b130-d983d4fb75db,Psytrance,psytrance,,Emphasizes a psychedelic feel and an energetic sound; based around influences from Goa Trance and Acid Trance.,
1941db1a-2017-417f-a4b3-89b95a34d19b,Neurofunk,neurofunk,,"Focuses on technical songwriting with warped, complex bass sounds, distorted and modulated synths (often with repeated stabs over the basslines), and dark but clean production.",
19e2d10d-018d-4f8f-a893-06ecaae5778d,Ghetto Funk,ghetto-funk,,"Rich sampling, drawing from classic Hip Hop as well as from Funk and Soul, and strong midtempo break grooves.",
1a4f2a3d-47d5-4ef5-9dc3-959a1bb2a290,Downtempo,downtempo,,Atmospheric and groove-based with relaxed tempos and mellow beats.,
1a54c91c-ed96-477b-aac9-af52e51ba222,Vaportrap,vaportrap,,"Incorporates a blend of Trap percussion set to the re-utilization of old samples, such as 1990s pop culture or old computer library sounds.",
1cc202af-81fd-4734-9ae8-01289d2b4ed2,Funk mandelão,funk-mandelão,,"Simple lyricism, raw and minimalistic production, and distinct drops with bursting bass.",
1cc32893-d52a-4806-b984-888f5215fcee,Bassline,bassline,,Strong emphasis on intricate basslines as well as four-on-the-floor beat patterns.,
1e0a08ff-3a25-4b31-87d9-bb73e918a00f,2-Step,2-step,,"Originating in London and popular in the late 1990s; jittery, shuffling rhythms rarely following a four-on-the-floor pattern.",
1e5f0551-3603-4675-92bf-87d03a20d7bd,Hard Techno,hard-techno,,"Typically rave-oriented form characterized by hard, prominent kick drums, pounding rhythms, fast tempos around 140-160 BPM, and aggressive, often distorted sounds.",
1eda0a96-55f0-42b5-9f3d-9f1011d74cea,Spacesynth,spacesynth,,"Highly melodic, often instrumental futuristic strain, formed under the heavy influence of Space Disco, Progressive Electronic and, later, early Eurobeat.",
1f0b7cc5-e1c4-44c1-8f51-f7840755a822,Futurepop,futurepop,,"Derivative of EBM, retaining its apocalyptic worldview but incorporating heavy influence from the melodic style of Synthpop.",
21160d66-50dd-4ab7-b238-4536f7e31d20,Singeli,singeli,,"Developed in Tanzania in the mid-2000s; fuses incredibly rapid beats, usually between 180-300BPM, with MCing and musical influences from older Tanzanian genres.",
21f53603-6244-4cd0-ad2a-30f85376990d,Trip Hop,trip-hop,,"Evokes a surreal, trippy, dreamy, and sometimes dark atmosphere with offbeat turntable scratches, light vocal melodies, and Hip Hop-influenced beats.",
22f577dc-1a3f-49f5-9f43-eb24eaaa7ac9,Ambient Dub,ambient-dub,,"Takes cues from Ambient and Dub reggae, featuring the atmosphere of the former and the Jamaican-style basslines, percussion, and psychedelic production techniques of the latter.",
23dff9fd-360a-4db9-9f5a-1ca6f48d597c,Ghettotech,ghettotech,,Fuses the syncopation and synthesized sounds of Electro and Detroit Techno with the cut-up samples of Ghetto House and fast rhythms of Miami Bass.,
2494bbce-a2e0-44bf-a629-93bd0dbccf6c,Chicago House,chicago-house,,Umbrella term for a broad variety of House that originated from Chicago in the (mostly mid-to-late) 1980s and early 90s.,
25dfbe3c-ffe8-469e-aab6-760423859066,Full-On Psytrance,full-on-psytrance,,"Faster and more intense, usually set around 145-150 BPM and featuring harder rolling basslines, vocal samples and ""spacey"" effects.",
262cecd0-4dcb-466d-a5dd-1ab33eaf5b66,Hardtek,hardtek,,"Modern version of the ""tribecore"" sound featuring deep alternating basses and festival EDM-influenced drops.",
28413645-71c7-4c40-9355-fe113774177e,Hip House,hip-house,,Incorporates production elements of early Hip Hop and usually rapping into 1980s House.,
28b0de1e-7624-4b59-b0cb-310d246aa40a,Happy Hardcore,happy-hardcore,,"Emerged in the 1990s from the UK Breakbeat Hardcore scene; characterized by saccharine vocals, uplifting piano riffs and spacey effects, gradually developing to emphasize extremely fast-paced four-on-the-floor beats.",
2f12960c-4eb6-41e9-bf02-e3308b419257,Dubstep,dubstep,,Half-time syncopated and sparse beats set around 140 BPM with heavy sub-basses; emerged in South London in the early 2000s.,
2f4df129-bd6d-4135-875b-9a34f0400310,Speedcore,speedcore,,"Exceedingly fast tempos, frequently above 300 BPM, and often aggressive themes and samples.",
2f754a9a-7ac8-46fe-b943-be52aa23c7e7,Flex Dance Music,flex-dance-music,,Largely instrumental; infused with Electronic Dance Music elements.,
31620290-78d2-483d-ab19-1d8c105183da,Bitpop,bitpop,,"Fuses Bit Music with additional synths, beats, guitars and modern production values, emphasizing highly catchy melodies and relatively fast tempos.",
31d7704b-cd95-4242-aa55-e7ad05c0a45c,Synthwave,synthwave,,"Rooted in 1980s synth music, characterized by large, throbbing ""retro"" synths and visual elements, often features upbeat percussion and/or epic, cinematic atmospheres.",
32bae34d-3741-4676-a6b8-4b7d8751a6a5,Liquid Riddim,liquid-riddim,,"Distinct for its atmospheric production, overpowering ambience, watery synths, and melodic bass patterns.",
33f67168-2191-41d3-8acc-45892150e410,Melodic Dubstep,melodic-dubstep,,"Melodious, tuneful drops, rich, lush synth leads, powerful stretched chords, and light and harmonious sound design.",
3462db85-11f3-4ff2-b499-358a10b80051,Gospel House,gospel-house,,"Incorporates heavy Gospel elements and singing borrowed from classic and contemporary gospel, usually in the form of choir vocals and call-and-response chants.",
34948ea2-649b-4d89-9ce7-1e53afe4b1a1,Riddim,riddim,,"Repetitive and relatively simplistic style inspired by mid-to-late-2000s UK Dubstep, often using robotic and/or squishy sound design along with bouncy square basses and less prominent buildups.",
36cb7d4c-7323-4189-963e-e1e67234b339,Hi-NRG,hi-nrg,,"Emerged in the late 1970s and quickly became the most popular form of Electronic Dance Music in the LGBT club scenes of San Francisco and New York, characterized by its uptempo, high-energy sound.",
36d73ff1-f774-4bfa-b90b-927f868e6dd5,Minimal Drum and Bass,minimal-drum-and-bass,,"Minimalist, sparse sound; emerged in two main 2000s strains, one Dubstep-inspired and one IDM-inspired, which crossed paths in the 2010s.",
39f70134-42e0-4fc2-a6c8-a6a174e7ef3a,Electro-Industrial,electro-industrial,,Formed in the late 1980s and early 1990s; grew out of a combination of EBM and Industrial.,
3a131c15-7083-4c3b-8175-7d8dd80a9092,Big Room Trance,big-room-trance,,"Incorporates production features associated with Big Room House and dirty, distorted leads influenced by Electro House, Dutch House and Hardstyle.",
3a2eb6e8-1cea-4276-9bfa-f9799a43ca3d,Belgian Techno,belgian-techno,,"Early form of Hardcore, resulting from the further evolution of New Beat due to the strong influence of Techno and EBM.",
3b45275e-7eb9-45ca-98dc-40ea6c4acd79,Breakstep,breakstep,,"Hard-hitting Breakbeat rhythms and heavy, rolling basslines.",
3b6f4186-3226-4920-b51a-0997786c0308,Moombahton,moombahton,,"Offshoot of Dutch House characterized by tempos in the 100-110 BPM range, Reggaetón-influenced rhythms, bass-heavy kicks and high-pitched synths.",
3bd491cf-a337-4c70-bbc8-fc8919030c18,Psystyle,psystyle,,"Prominent Psytrance influences, especially the basslines and energy of mainstream psytrance.",
3c0a3ecc-3059-47fa-aeeb-73241c421a57,Hard Trap,hard-trap,,Often abrasive subgenre of Trap with heavy influence from Hardstyle.,
3e0299e5-b5cd-472b-83e1-0300cf9fc219,Space Disco,space-disco,,"Emerged in Europe in the mid-to-late 1970s, characterized by layers of oscillating synth, space-oriented sound effects, and a futuristic sound inspired by contemporary sci-fi media.",
3e55bfb7-8948-45e5-bdb0-512d7aad825f,Nu-Disco,nu-disco,,"21st-century trend mixing modern, polished Electronic production with the aesthetics, structures, and lively, organic beats of 1970s and 1980s Disco.",
3ecd591c-8bfd-4b15-a273-01955762ba2f,Euro Trance,euro-trance,,"Emerged as a fusion with Eurodance, features fast tempos, more accessible grooves and structures, and simple, catchy melodies with vocals and saw synth leads.",
3f13f807-923d-42a8-a125-b564750d2e13,Ballroom,ballroom,,"Emerging from the predominantly Black and LGBT Harlem ballroom culture, it is characterized by hard-hitting rhythms, generally improvised chanting by MCs known as commentators, and a distinctive crash sample.",
3f44ff6b-6f40-44df-9ebb-057bf92cca5e,Phonk,phonk,,"Merges Funk automotivo's rhythms, vocals, and energy, with the energetic and nocturnal production typical of the Drift Phonk scene, and Phonk House.",
3f4689ab-cc84-4316-88d6-4c476267c16a,Aggrotech,aggrotech,,Merges aggressive-sounding synths and apocalyptic atmospheres with harsh 4/4 beats and fast tempos.,
4131c2e5-e671-44d2-b2a1-db0ca5ac36c8,Afro House,afro-house,,"Emerged by fusing Deep House with Southern African Music, characterized by hypnotizing drum patterns of shakers and congas, often sampled African vocals or soulful original features, and spiritual, organic, melodic atmosphere.",
4189fd8d-d258-420d-8c98-487c3b254450,East Coast Club,east-coast-club,,Group of club styles from the US East Coast that combines Miami Bass rhythms with influence from Breakbeat and Ghetto House.,
41fa7647-dd7d-478c-b968-46b30af813bd,Hardcore Breaks,hardcore-breaks,,"Revival of Breakbeat Hardcore which emerged in the 2000s, bringing in modern influences and production techniques.",
422f554e-3c72-4df4-beee-ec9079ea0f45,Tech Trance,tech-trance,,"Late 1990s-emerging subgenre characterized by energetic percussion with loud kicks, filtered hi-hats and tribal drums; side-chained, detuned and repetitive leads, as well as other raw, distorted, and complex sounds influenced by Techno, Hard Trance and Electro House.",
4370cd97-b2e2-4a37-89b9-c8bb9fc77efd,Future Riddim,future-riddim,,"Melodic and futuristic style inspired by Future Bass, and to a lesser extent Colour Bass and Melodic Dubstep.",
44826a01-5acb-42e2-aa33-f51cd4ce9dfb,UK Jackin',uk-jackin,,"Successor to British Bassline, characterized by strong basslines, dark atmospheres, and dominant grooves.",
453c7bdb-0c97-4cb4-87db-aa3c768bb6fe,Gqom,gqom,,"Evolved from South African House, specifically Kwaito; often described as a more minimal and raw version.",
4689b2ab-7fec-4671-a583-2a9c0f895da6,Drumstep,drumstep,,"Dancefloor-friendly, loud, and heavy combination of the drum programming and tempo of Jump-Up with the half-time rhythm and midrange LFO wobble of Brostep.",
46b72f18-2fea-4c2e-a90f-a57347f3103a,Lento violento,lento-violento,,"Features a ""slow and violent"" sound between 70-120 BPM with hard kicks inspired by Hardcore and Hardstyle.",
4881ed68-2cbc-4df6-817f-b46738c98757,Diva House,diva-house,,"Dominant, anthemic female vocals, common use of piano stabs, and energetic, driving four-on-the-floor rhythms.",
48ad231e-21d9-4e71-80d3-b1d7b2bcf02a,Peak Time Techno,peak-time-techno,,"Hard, dynamic, energetic and accessible subgenre featuring strong kicks, massive dirty synths, tempos around 130 BPM, more suspenseful structures with breaks and build-ups, and big, modern, festival-oriented sound; rose to high popularity in the late 2010s.",
4a02be73-e3eb-486a-a43c-b987152503c1,Progressive House,progressive-house,,"Trance-influenced strain of House that grew to prominence in the early 1990s, using polished production and gradual progressions.",
4bc210c1-f362-4c1d-8cb8-fae9822cf341,Glitch,glitch,,"Uses abstract sound design and malfunctioning electronics—CD skips, data corruption, and hardware noise—as main compositional elements.",
4c085b54-a3db-4fd3-9351-bb5572b42db4,Future House,future-house,,Features distinctive metallic-sounding drops and frequency-modulated basslines at around 120-130 BPM.,
4d329b83-955e-4711-9ef8-73c2507c9051,Folktronica,folktronica,,Combines sound design techniques from IDM and Glitch with acoustic instrumentation inspired by Contemporary Folk.,
4f4a87e5-9fc2-4660-a62e-035b54b05c51,Dubwise Drum and Bass,dubwise-drum-and-bass,,"Implementing Reggae and Dub influences, usually vocal dubs, delay effects, and reggae instrumentation, with the clean production and rhythms of post-2000s styles.",
4fc0983e-bf30-4b7a-be8f-8d6611d4c51f,West Coast Breaks,west-coast-breaks,,"Combines the earlier breakbeats of Hip Hop and early Breakbeat or even Miami Bass, with various 1990s Electronic Dance Music genres like Trance and Techno.",
50bd419e-f6c6-47db-a3d1-4e2b44bde06b,Future Bass,future-bass,,"Woozy, detuned synthesizers, 7th chords, harsh basslines, syncopated percussion with fast-paced hi-hats and a melodic, carefree atmosphere.",
5233ce33-7922-45bc-9e70-8beb1825fdde,Hardstyle,hardstyle,,"Hard, four-on-the-floor kick drums, fast tempo around 150 BPM, reverse bass and harsh, distorted synths.",
523e9f27-b81f-4714-961d-2fa579ecede0,Artcore,artcore,"[""Atmospheric Drum and Bass""]",Combines an eclectic mix of Electronic Dance Music genres with the instrumentation and melodic stylings of genres like Cinematic Classical for a maximalist and emotional sound.,
52e7e208-8277-4b53-9977-d2edf9db39cc,Electro Swing,electro-swing,,"Upbeat, energetic style that splices Swing with Electronic Dance Music, looking to recapture the atmosphere of late 1920s to mid-1940s Jazz within a more updated club-friendly medium.",
54db7b18-9c6a-4612-961d-967c751df2d2,Juke,juke,,"Faster than Ghetto House, playing at 160bpm, and makes striking use of unconventional drum patterns which differ wildly from other House styles.",
5869bbcc-16bc-481e-8e93-767e41afeb72,House,house,,"Generally features a four-on-the-floor beat within 110-140 BPM, a groove built on swing and syncopation, synthesized basslines, repetitive melodic elements, and an upbeat mood.",
59497007-bb8d-43e3-992e-6f315d887f3b,Weightless,weightless,,"Typically instrumental, leftfield Grime style characterized by sparse, ""weightless"" percussion and spectral, atmospheric production.",
598068d9-63ba-4307-b20f-a5457672e148,Frenchcore,frenchcore,,"Off-beat, bouncy rhythmic patterns and tempos around the 200 BPM range.",
5a899010-0b1d-4cb8-8abb-e0e0bc9eed35,Amapiano,amapiano,,"House from South Africa deriving from previous popular genres including Gqom, Kwaito, and Deep House.",
5af19c11-afd6-44e1-9faf-819ca8e4a849,Briddim,briddim,,Combining the kick-clap rhythms and syncopation of Riddim with Brostep sound design.,
5b42b7f0-bf67-4c26-8062-0e7380b567d9,Hyperpop,hyperpop,,"Developed and took inspiration from Bubblegum Bass and popular 2000s-2010s Electropop, characterized by eclectic, unconventional, mechanical-sounding and dense production; and by manipulated, usually auto-tuned vocals.",
5ba54f3e-5f55-4152-8fa4-2f0f54d0f769,Berlin School,berlin-school,,"Atmospheric, multi-layered synthesizer textures; pioneered in Berlin in the 1970s as an offshoot to the Krautrock movement.",
5c5d26e1-3177-4663-8d9d-3309b4836d52,Uptempo Hardcore,uptempo-hardcore,,"Utilizes lo-fi production, harsh kicks, and elements borrowed from Rawstyle and other gritty Hardcore styles while usually sitting at around 185-220 BPM.",
5cc4a716-ffbc-4640-a5ca-c3d4b367827d,Synthpop,synthpop,,"Led by melodic synthesizer sounds, often with reverberating drum machine patterns; commonly associated with the 1980s.",
5db96e38-930e-490e-93d6-78917a1f15bd,Gabber,gabber,,"Fast-paced and energetic, often in the 160-220 BPM range, with a hallmark of a distinctive distorted kick sound.",
5e2ce490-7ce3-4423-b274-103457632c15,Italo Dance,italo-dance,,"Appeared in the 1990s after the decline of Italo-Disco, featuring rhythmic influence from that genre.",
5e9f1db9-6279-4b2e-88f9-d488570bc7ed,Deconstructed Club,deconstructed-club,,Emerged in the 2010s as the hybridization of diverse Electronic Dance Music genres with an abrasive Post-Industrial sound.,
5ed0cdfe-8d97-4859-b25e-3be818d8732a,Tearout,tearout,,"Emerged in the late 2000s, characterized by a gritty, aggressive sound and closely affiliated with early, deep Dubstep.",
5f19f8c9-a5b3-45ad-81db-1204dc7b244f,Purple Sound,purple-sound,,"Emerged in the late 2000s out of the Dubstep scene of the time, incorporating synth leads and basslines inspired by 1980s Synth Funk and 1990s G-Funk, and Video Game Music, into a rhythmic palette mostly derived from dubstep and Grime.",
61b41ae1-1f0e-4e29-a2e7-74246b7ed05c,Rawphoric,rawphoric,,Combines raw harsh kicks with the uplifting melodies of Euphoric Hardstyle.,
669535b7-8dbb-4903-8735-569af2aaeed4,Tribal Guarachero,tribal-guarachero,,"Features percussion from Cumbia and Mexican Folk Music with upbeat Electro House-derived production and fast, triplet-oriented rhythmic patterns.",
676185f1-6820-41fc-bc0b-64c60ea397be,Uplifting Trance,uplifting-trance,,"Euphoric melodies, buildup-breakdown-anthem structures, common usage of supersaws, and a BPM range of usually around 135-142.",
67621458-f0ed-48d4-9eeb-d9518a34b368,Progressive Psytrance,progressive-psytrance,,"Emerged in the early 2000s, featuring a slow tempo range and clean production.",
680b8618-cbab-45eb-85c8-27005374f464,Jumpstyle,jumpstyle,,"Features a heavy 909 kick drum, four-on-the-floor beat, and a tempo between 140 and 150 BPM.",
